,file_name,Longitudinal,Chain,Author,Isotype,Age,Size_igblastn,Disease,Link,BSource,BType,Size,Species,Vaccine,Subject,valid_entry_num
1909,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S34_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,92571,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,78127,human,None,S34,2633
1910,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S35_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,21108,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,17467,human,None,S35,639
1911,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S36_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,38993,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,31518,human,None,S36,1348
1912,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S37_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,53696,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,45787,human,None,S37,1501
1913,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S38_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,72366,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,62148,human,None,S38,1014
1914,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S39_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,32789,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,27457,human,None,S39,1018
1915,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S3_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,15296,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,13286,human,None,S3,74
1916,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S40_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,32784,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,27328,human,None,S40,511
1917,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S41_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,50448,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,41877,human,None,S41,2113
1918,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S42_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,57137,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,47326,human,None,S42,1915
1919,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S43_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,26335,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,21750,human,None,S43,927
1920,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S44_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,58489,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,49904,human,None,S44,1363
1921,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S45_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,45007,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,37842,human,None,S45,1404
1922,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S46_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,30411,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,25878,human,None,S46,1265
1923,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S47_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,39780,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,33440,human,None,S47,1346
1924,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S48_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,33573,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,28315,human,None,S48,848
1925,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S49_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,21544,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,17787,human,None,S49,805
1926,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S4_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,22910,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,19797,human,None,S4,62
1927,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S50_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,58077,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,49611,human,None,S50,181
1928,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S51_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,37276,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,31086,human,None,S51,228
1929,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S52_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,32176,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,26149,human,None,S52,158
1930,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S53_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,30145,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,24943,human,None,S53,583
1931,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S54_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,35592,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,29121,human,None,S54,582
1932,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S55_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,36813,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,30268,human,None,S55,1266
1933,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S56_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,38603,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,31751,human,None,S56,229
1934,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S57_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,55277,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,47094,human,None,S57,654
1935,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S58_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,37337,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,31332,human,None,S58,957
1936,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S59_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,56489,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,47787,human,None,S59,1806
1937,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S5_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,84447,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,71160,human,None,S5,2225
1938,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S60_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,33503,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,28351,human,None,S60,189
1939,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S61_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,42676,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,35503,human,None,S61,231
1940,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S62_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,36954,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,31009,human,None,S62,125
1941,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S63_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,28318,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,22617,human,None,S63,976
1942,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S64_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,44052,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,36131,human,None,S64,562
1943,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S65_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,137505,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,117041,human,None,S65,3660
1944,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S66_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,35965,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,30285,human,None,S66,449
1945,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S67_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,42582,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,35597,human,None,S67,458
1946,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S68_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,71026,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,60026,human,None,S68,1865
1947,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S69_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,38529,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,31999,human,None,S69,119
1948,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S6_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,53855,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,45990,human,None,S6,997
1949,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S70_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,41900,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,35320,human,None,S70,877
1950,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S71_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,44638,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,37534,human,None,S71,1795
1951,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S72_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,35833,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,30059,human,None,S72,390
1952,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S73_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,30074,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,24752,human,None,S73,805
1953,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S74_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,28393,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,23277,human,None,S74,247
1954,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S75_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,33391,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,27300,human,None,S75,1106
1955,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S76_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,53995,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,45357,human,None,S76,632
1956,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S77_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,46434,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,38594,human,None,S77,904
1957,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S78_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,25305,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,21533,human,None,S78,917
1958,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S79_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,38099,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,31274,human,None,S79,1379
1959,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S7_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,43131,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,36850,human,None,S7,417
1960,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S80_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,42885,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,36006,human,None,S80,1133
1961,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S81_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,20987,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,16929,human,None,S81,34
1962,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S82_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,38666,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,32211,human,None,S82,300
1963,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S83_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,53786,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,45440,human,None,S83,1322
1964,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S84_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,52291,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,43885,human,None,S84,574
1965,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S85_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,55571,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,47578,human,None,S85,2016
1966,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S86_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,53150,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,42975,human,None,S86,1079
1967,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S87_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,36862,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,30620,human,None,S87,391
1968,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S88_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,53840,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,44825,human,None,S88,2174
1969,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S89_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,65620,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,55610,human,None,S89,2486
1970,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S8_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,66811,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,56661,human,None,S8,1648
1971,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S90_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,71329,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,60972,human,None,S90,2918
1972,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S91_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,75550,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,64085,human,None,S91,2873
1973,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S92_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,28992,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,24293,human,None,S92,517
1974,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S93_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,46499,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,39586,human,None,S93,882
1975,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S94_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,34510,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,28214,human,None,S94,914
1976,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S95_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,105304,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,89069,human,None,S95,1126
1977,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S96_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,37905,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,30077,human,None,S96,304
1978,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S97_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,67389,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,55357,human,None,S97,883
1979,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S99_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,21277,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,17510,human,None,S99,301
1980,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S9_Naive-B-Cells_igblastn_IGHD,no,Heavy,"Gidoni et al., (2019)",Bulk,no,32276,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,26193,human,None,S9,232
1981,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S100_Naive-B-Cells_igblastn_IGHG,no,Heavy,"Gidoni et al., (2019)",Bulk,no,518,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,427,human,None,S100,7
1982,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S10_Naive-B-Cells_igblastn_IGHG,no,Heavy,"Gidoni et al., (2019)",Bulk,no,1291,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,934,human,None,S10,18
1983,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S11_Naive-B-Cells_igblastn_IGHG,no,Heavy,"Gidoni et al., (2019)",Bulk,no,179,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,148,human,None,S11,3
1984,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S12_Naive-B-Cells_igblastn_IGHG,no,Heavy,"Gidoni et al., (2019)",Bulk,no,450,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,384,human,None,S12,7
1985,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S15_Naive-B-Cells_igblastn_IGHG,no,Heavy,"Gidoni et al., (2019)",Bulk,no,584,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,504,human,None,S15,8
1986,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S16_Naive-B-Cells_igblastn_IGHG,no,Heavy,"Gidoni et al., (2019)",Bulk,no,873,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,791,human,None,S16,8
1987,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S17_Naive-B-Cells_igblastn_IGHG,no,Heavy,"Gidoni et al., (2019)",Bulk,no,2079,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,1636,human,None,S17,24
1988,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S18_Naive-B-Cells_igblastn_IGHG,no,Heavy,"Gidoni et al., (2019)",Bulk,no,293,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,207,human,None,S18,5
1989,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S19_Naive-B-Cells_igblastn_IGHG,no,Heavy,"Gidoni et al., (2019)",Bulk,no,223,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,179,human,None,S19,4
1990,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S20_Naive-B-Cells_igblastn_IGHG,no,Heavy,"Gidoni et al., (2019)",Bulk,no,1322,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,1099,human,None,S20,41
1991,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S21_Naive-B-Cells_igblastn_IGHG,no,Heavy,"Gidoni et al., (2019)",Bulk,no,67,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,59,human,None,S21,2
